date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-06-18,DP,Desert Poppy,5.0,0.0,4.0,4.0,4.0
2026-06-18,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-18,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,5.0
2026-06-18,AW,Alpine Woods,5.0,0.0,5.0,4.0,5.0
2026-06-18,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-18,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-06-18,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-18,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-06-17,DP,Desert Poppy,5.0,-0.5,5.0,4.0,5.0
2026-06-17,GH,Golden Hour,1.0,-1.0,1.0,1.0,3.0
2026-06-17,CC,1 Pack,1.0,-1.0,1.0,1.0,1.0
2026-06-17,HR,Hollywood Rouge,5.0,-0.5,5.0,3.0,5.0
2026-06-17,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-17,GH,Golden Hour,2.0,-1.0,1.0,1.0,3.0
2026-06-17,CC,1 Pack,1.0,-1.0,1.0,1.0,1.0
2026-06-17,CZ,Signature Cozy,5.0,-0.5,5.0,5.0,5.0
2026-06-17,CZ,1 Pack,3.0,1.0,2.0,2.0,4.0
2026-06-16,CZ,Signature Cozy,1.0,0.5,3.0,3.0,1.0
2026-06-16,CC,Central Coast,1.0,0.0,3.0,1.0,1.0
2026-06-16,CZ,1 Pack,5.0,0.0,5.0,4.0,5.0
2026-06-16,SD,Sugar Dew,5.0,0.5,5.0,5.0,3.0
2026-06-16,CZ,Signature Cozy,4.0,-0.5,3.0,3.0,3.0
2026-06-16,CC,1 Pack,5.0,0.0,5.0,5.0,5.0
2026-06-16,AW,Alpine Woods,2.0,-0.5,2.0,3.0,3.0
2026-06-16,MM,Malibu Mornings,5.0,0.0,4.0,4.0,4.0
2026-06-16,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-06-16,HR,Hollywood Rouge,3.0,0.0,4.0,4.0,1.0
2026-06-16,GH,1 Pack,5.0,0.0,5.0,5.0,4.0
2026-06-16,DP,Desert Poppy,2.0,-0.5,2.0,5.0,5.0
2026-06-15,VM,Vanilla Moon,5.0,0.0,5.0,5.0,4.0
2026-06-15,CC,1 Pack,5.0,0.0,5.0,5.0,5.0
2026-06-15,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-15,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-15,AW,Alpine Woods,5.0,0.0,5.0,5.0,4.0
2026-06-15,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-06-15,CZ,Signature Cozy,3.0,-1.0,5.0,3.0,2.0
2026-06-15,DP,Desert Poppy,2.0,1.0,2.0,3.0,2.0
2026-06-15,AW,Alpine Woods,5.0,0.0,4.0,3.0,4.0
2026-06-15,CZ,Signature Cozy,5.0,0.0,4.0,5.0,4.0
2026-06-15,CC,Central Coast,4.0,-0.5,5.0,5.0,3.0
2026-06-15,SD,Sugar Dew,5.0,-1.0,4.0,5.0,4.0
2026-06-15,GH,Golden Hour,5.0,0.0,5.0,5.0,3.0
2026-06-15,CZ,Signature Cozy,3.0,0.0,3.0,3.0,2.0
2026-06-15,GH,Golden Hour,5.0,0.0,5.0,4.0,3.0
2026-06-15,CC,Mozi Wash Detergent,5.0,0.0,4.0,4.0,5.0
2026-06-15,CC,Central Coast,2.0,-1.0,3.0,3.0,4.0
2026-06-15,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-06-14,CC,Central Coast,5.0,0.0,5.0,5.0,4.0
2026-06-13,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-13,CZ,Signature Cozy,1.0,0.0,1.0,1.0,3.0
2026-06-12,CZ,1 Pack,5.0,0.0,4.0,5.0,5.0
2026-06-12,GH,Golden Hour,5.0,-0.5,5.0,5.0,5.0
2026-06-12,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-12,DP,Desert Poppy,2.0,-1.0,3.0,3.0,5.0
2026-06-12,GH,Golden Hour,2.0,-1.0,3.0,3.0,5.0
2026-06-12,GH,Golden Hour,5.0,0.0,5.0,4.0,4.0
2026-06-12,CC,Mozi Wash Detergent,5.0,0.0,5.0,5.0,4.0
2026-06-12,AW,Alpine Woods,5.0,0.0,5.0,5.0,3.0
2026-06-11,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-06-11,SD,Sugar Dew,5.0,0.0,5.0,4.0,4.0
2026-06-11,SD,Sugar Dew,5.0,0.0,5.0,4.0,2.0
